Program,Year,Period,Geo Level,State,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Value,CV (%)
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHEAST,90,DEARBORN,29,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",173.2,3.2
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHEAST,90,FRANKLIN,47,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184.9,1.9
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHEAST,90,JEFFERSON,77,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",165,6.3
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHEAST,90,JENNINGS,79,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",177.1,2.8
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHEAST,90,OHIO,115,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",154.3,2.9
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHEAST,90,RIPLEY,137,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",178.4,3
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHEAST,90,SWITZERLAND,155,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",182.2,3.6
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,DAVIESS,27,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192.4,2
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,DUBOIS,37,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",183.9,2.5
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,GIBSON,51,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",200.3,2.6
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,GREENE,55,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184.3,3
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,KNOX,83,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187,1.9
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,MARTIN,101,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",190.6,2.2
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,PIKE,125,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",181.4,4.3
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,POSEY,129,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",199,1.6
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,SPENCER,147,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",182.7,1.8
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,SULLIVAN,153,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",182.9,3
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,VANDERBURGH,163,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",204.7,4.6
SURVEY,2020,YEAR,COUNTY,INDIANA,SOUTHWEST,70,WARRICK,173,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176.9,3.2
SURVEY,2020,YEAR,COUNTY,INDIANA,WEST CENTRAL,40,CLAY,21,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",189.1,2.9
SURVEY,2020,YEAR,COUNTY,INDIANA,WEST CENTRAL,40,FOUNTAIN,45,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",186.9,4.6
SURVEY,2020,YEAR,COUNTY,INDIANA,WEST CENTRAL,40,MONTGOMERY,107,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",205,2.6
SURVEY,2020,YEAR,COUNTY,INDIANA,WEST CENTRAL,40,OWEN,119,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",168.5,1.8
SURVEY,2020,YEAR,COUNTY,INDIANA,WEST CENTRAL,40,PARKE,121,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",196.7,2.3
SURVEY,2020,YEAR,COUNTY,INDIANA,WEST CENTRAL,40,PUTNAM,133,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",193.5,1.2
SURVEY,2020,YEAR,COUNTY,INDIANA,WEST CENTRAL,40,TIPPECANOE,157,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",207.1,2.2
SURVEY,2020,YEAR,COUNTY,INDIANA,WEST CENTRAL,40,VERMILLION,165,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",188.8,2.7
SURVEY,2020,YEAR,COUNTY,INDIANA,WEST CENTRAL,40,VIGO,167,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176.7,2.2
SURVEY,2020,YEAR,COUNTY,INDIANA,WEST CENTRAL,40,WARREN,171,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",206.6,1.2
SURVEY,2020,YEAR,COUNTY,INDIANA,,99,OTHER COUNTIES,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",160,3.1
SURVEY,2019,YEAR,COUNTY,INDIANA,CENTRAL,50,BOONE,11,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",177.4,
SURVEY,2019,YEAR,COUNTY,INDIANA,CENTRAL,50,DECATUR,31,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",180,
SURVEY,2019,YEAR,COUNTY,INDIANA,CENTRAL,50,HAMILTON,57,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",156.7,
SURVEY,2019,YEAR,COUNTY,INDIANA,CENTRAL,50,HANCOCK,59,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",138.2,
SURVEY,2019,YEAR,COUNTY,INDIANA,CENTRAL,50,HENDRICKS,63,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176.1,
